frame_index,material_id,formula,n_atoms,ref_bec_asr_max_abs,pred_bec_asr_max_abs
1399,mp-676284,Ag2Se4Y2,8,0.0031099999999977257,4.799999997473492e-07
1005,mp-15703,C2Be2N4,8,0.0031000000000003247,7.099999999038431e-07
205,mp-34982,Ag3AuS2,6,0.0030700000000005723,4.2000000011199745e-07
883,mp-568536,Ba3I6,9,0.003049999999999775,4.899999992424853e-07
1140,mp-19178,Ag2Co2O4,8,0.0030199999999993565,6.000000007944095e-07
149,mp-2741,CaF2,3,0.0029799999999999827,2.400000000957192e-07
36,mp-28306,Br2Mn,3,0.0029799999999998716,1.300000003201518e-07
368,mp-11739,KLaTe2,4,0.0029700000000003612,2.299999999344493e-07
14,mp-25469,Al2Cl6,8,0.0029600000000004068,3.600000003656234e-07
1134,mp-11023,Au2O4Sc2,8,0.002959999999997187,2.340000000877751e-06
348,mp-8830,NaO2Rh,4,0.0029399999999997206,9.600000003828768e-07
845,mp-13150,BN,2,0.002930000000000099,2.400000003177638e-07
20,mp-570219,Br6In2,8,0.002909999999999968,1.5000000053166929e-07
1392,mp-4359,O3PdSr2,6,0.0028799999999993275,4.800000001914384e-07
380,mp-4182,AgCrS2,4,0.0028500000000002412,5.299999998875649e-07
931,mp-22898,IK,2,0.0028400000000001757,1.6999999996603066e-07
1024,mp-30058,O6Sb2Tl2,10,0.002829999999998112,4.899999985763515e-07
789,mp-1186,S2Zr,3,0.002769999999999939,9.599999999387876e-07
275,mp-558838,F6NiPt,8,0.002769999999999939,8.899999997535879e-07
861,mp-2008,As4Fe2,6,0.0027599999999994296,2.160000000639428e-06
1280,mp-31454,RuSbTa,3,0.0027099999999999997,1.90999999993835e-06
1292,mp-569779,PdSbSc,3,0.0026999999999999247,4.0999999972868295e-07
0,mp-570778,Cl16,16,0.0026800000000000435,5.999999999999943e-08
83,mp-22888,Br4Ca2,6,0.00266999999999995,2.499999995908553e-07
1142,mp-27409,Br6Ni2Rb2,10,0.0026600000000003288,3.499999995382197e-07
1190,mp-862947,AuBa2Bi,4,0.0026599999999998847,8.299999996186358e-07
911,mp-22925,AgI,2,0.0026599999999998847,6.000000007944095e-08
526,mp-777422,H2Dy2O4,8,0.002640000000001752,5.400000011590578e-07
790,mp-23205,I2Mg,3,0.0026200000000000667,3.0000000006413785e-07
1029,mp-9056,F6PdZr,8,0.0025799999999986944,8.400000000574614e-07
1311,mp-29761,C2O10U2,14,0.0025199999999998557,2.190000001123238e-06
116,mp-2030,Ru4S8,12,0.002509999999998236,1.3199999984170319e-06
1112,mp-22566,InS2Tl,4,0.0024999999999999467,7.199999996210238e-07
395,mp-16764,Rb2Te4Y2,8,0.0024999999999986144,3.49999999649242e-07
1262,mp-12558,AsLiMg,3,0.0024900000000003253,3.599999995884673e-07
118,mp-730,P8Pt4,12,0.002460000000001461,2.0400000013687247e-06
58,mp-19128,Co2O2,4,0.002429999999999932,5.899999999670058e-07
608,mp-8623,K2PtTe2,5,0.0024200000000001998,8.000000006891383e-08
300,mp-33526,Bi2Li2S4,8,0.0024199999999998667,7.200000013973806e-07
77,mp-570589,Br4Se4,8,0.0023900000000001143,1.8999999984448124e-07
82,mp-1522,Fe2S4,6,0.002360000000000362,8.200000003455443e-07
43,mp-28233,Cl2Mn,3,0.0023600000000000287,3.600000000325565e-07
214,mp-755190,O16Ta4V4,24,0.002359999999987039,2.510000004951607e-06
1066,mp-10402,F6TiTl2,9,0.0023500000000000743,7.200000007312468e-07
1208,mp-866141,Fe2SiTi,4,0.002349999999999852,9.499999999995623e-07
137,mp-23167,ClTl,2,0.0023300000000001653,2.400000000957192e-07
793,mp-30033,Br2Co,3,0.0022600000000000398,1.200000000478596e-07
803,mp-23240,Cl2Co,3,0.0022500000000000853,1.6000000002680537e-07
603,mp-19218,Fe2O5Sr3,10,0.0022499999999998632,8.299999991745466e-07
256,mp-3524,Li2N4P2,8,0.002220000000000333,8.299999996186358e-07
385,mp-546027,Bi2Cr2O6,10,0.002200000000000202,9.60000000826966e-07
794,mp-30034,Br2Mg,3,0.0021700000000000053,1.200000000478596e-07
156,mp-23292,Br4Hg2,6,0.0021399999999998087,1.19999999825815e-07
